age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,deposit
age_25_or_above,job_technician,marital_single,education_secondary,default_no,586,housing_no,loan_yes,contact_cellular,month_jul,32,3,-1,0,poutcome_unknown,0
age_25_or_above,job_management,marital_married,education_secondary,default_no,90,housing_yes,loan_no,contact_telephone,month_apr,67,5,-1,0,poutcome_unknown,0
age_25_or_above,job_management,marital_married,education_unknown,default_no,1780,housing_yes,loan_no,contact_cellular,month_oct,211,2,185,7,poutcome_success,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,515,housing_no,loan_no,contact_cellular,month_jun,296,5,-1,0,poutcome_unknown,1
age_25_or_above,job_self-employed,marital_married,education_tertiary,default_no,661,housing_no,loan_no,contact_cellular,month_mar,56,2,-1,0,poutcome_unknown,0
age_25_or_above,job_retired,marital_married,education_secondary,default_no,0,housing_no,loan_no,contact_cellular,month_aug,412,2,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_married,education_secondary,default_no,3169,housing_no,loan_no,contact_cellular,month_aug,399,1,430,1,poutcome_failure,1
age_25_or_above,job_technician,marital_married,education_secondary,default_no,4101,housing_yes,loan_no,contact_cellular,month_feb,146,2,264,1,poutcome_other,1
age_25_or_above,job_entrepreneur,marital_married,education_tertiary,default_no,958,housing_no,loan_no,contact_unknown,month_jun,250,2,-1,0,poutcome_unknown,0
age_25_or_above,job_technician,marital_single,education_secondary,default_no,925,housing_no,loan_no,contact_cellular,month_nov,240,1,-1,0,poutcome_unknown,0
age_25_or_above,job_management,marital_married,education_tertiary,default_no,1187,housing_yes,loan_yes,contact_cellular,month_feb,157,1,-1,0,poutcome_unknown,0
age_25_or_above,job_admin.,marital_single,education_secondary,default_no,1097,housing_yes,loan_no,contact_cellular,month_nov,1555,2,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_divorced,education_secondary,default_no,507,housing_no,loan_no,contact_cellular,month_aug,173,4,-1,0,poutcome_unknown,0
age_25_or_above,job_management,marital_single,education_tertiary,default_no,417,housing_yes,loan_no,contact_cellular,month_aug,270,1,174,15,poutcome_failure,1
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_no,1857,housing_yes,loan_no,contact_cellular,month_apr,295,4,187,6,poutcome_success,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,3384,housing_no,loan_no,contact_cellular,month_mar,247,3,187,3,poutcome_success,1
age_25_or_above,job_blue-collar,marital_single,education_primary,default_no,3214,housing_yes,loan_no,contact_unknown,month_jun,124,2,-1,0,poutcome_unknown,0
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,1813,housing_yes,loan_no,contact_telephone,month_jul,15,1,-1,0,poutcome_unknown,0
age_25_or_above,job_technician,marital_married,education_secondary,default_no,178,housing_yes,loan_no,contact_unknown,month_jun,320,4,-1,0,poutcome_unknown,0
age_25_or_above,job_blue-collar,marital_divorced,education_secondary,default_no,-314,housing_yes,loan_no,contact_cellular,month_may,7,5,-1,0,poutcome_unknown,0
age_25_or_above,job_management,marital_married,education_tertiary,default_no,0,housing_yes,loan_no,contact_cellular,month_mar,506,2,-1,0,poutcome_unknown,1
age_25_or_above,job_housemaid,marital_married,education_primary,default_no,167,housing_yes,loan_no,contact_cellular,month_jul,106,2,-1,0,poutcome_unknown,0
age_25_or_above,job_housemaid,marital_married,education_secondary,default_no,281,housing_yes,loan_no,contact_unknown,month_may,604,1,-1,0,poutcome_unknown,0
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,1454,housing_yes,loan_no,contact_cellular,month_feb,231,2,297,2,poutcome_failure,1
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_yes,-36,housing_yes,loan_no,contact_unknown,month_jun,482,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_married,education_secondary,default_no,0,housing_no,loan_no,contact_cellular,month_aug,167,2,-1,0,poutcome_unknown,0
age_25_or_above,job_management,marital_married,education_tertiary,default_no,254,housing_no,loan_no,contact_cellular,month_jun,183,2,294,2,poutcome_failure,1
age_25_or_above,job_unemployed,marital_single,education_tertiary,default_no,140,housing_yes,loan_no,contact_telephone,month_may,11,2,-1,0,poutcome_unknown,0
age_25_or_above,job_management,marital_married,education_tertiary,default_no,3463,housing_no,loan_yes,contact_cellular,month_jul,371,2,166,3,poutcome_other,1
age_25_or_above,job_technician,marital_married,education_secondary,default_no,0,housing_yes,loan_yes,contact_cellular,month_apr,152,1,223,3,poutcome_other,0
age_25_or_above,job_blue-collar,marital_married,education_tertiary,default_no,17672,housing_no,loan_no,contact_cellular,month_nov,548,1,-1,0,poutcome_unknown,0
age_25_or_above,job_management,marital_single,education_tertiary,default_no,1271,housing_yes,loan_no,contact_cellular,month_apr,636,3,330,1,poutcome_failure,1
age_25_or_above,job_self-employed,marital_married,education_primary,default_no,1862,housing_yes,loan_no,contact_unknown,month_may,65,1,-1,0,poutcome_unknown,0
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_no,133,housing_yes,loan_no,contact_cellular,month_may,1388,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_married,education_secondary,default_no,13054,housing_yes,loan_no,contact_cellular,month_may,471,2,174,12,poutcome_other,0
age_25_or_above,job_student,marital_single,education_unknown,default_no,10332,housing_no,loan_no,contact_cellular,month_nov,46,3,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,2227,housing_no,loan_no,contact_cellular,month_aug,98,12,-1,0,poutcome_unknown,0
age_25_or_above,job_unemployed,marital_married,education_tertiary,default_no,0,housing_yes,loan_no,contact_cellular,month_nov,756,1,-1,0,poutcome_unknown,0
age_25_or_above,job_management,marital_married,education_tertiary,default_no,182,housing_no,loan_no,contact_cellular,month_jan,152,1,-1,0,poutcome_unknown,0
age_25_or_above,job_services,marital_single,education_secondary,default_no,181,housing_no,loan_no,contact_cellular,month_nov,239,2,93,2,poutcome_success,1
age_below_25,job_student,marital_single,education_unknown,default_no,2530,housing_no,loan_no,contact_cellular,month_may,411,1,-1,0,poutcome_unknown,1
age_25_or_above,job_entrepreneur,marital_married,education_tertiary,default_no,2410,housing_no,loan_no,contact_cellular,month_nov,65,1,-1,0,poutcome_unknown,0
age_25_or_above,job_admin.,marital_single,education_secondary,default_no,1221,housing_yes,loan_no,contact_unknown,month_may,245,1,-1,0,poutcome_unknown,0
age_25_or_above,job_blue-collar,marital_divorced,education_secondary,default_no,383,housing_yes,loan_no,contact_unknown,month_may,2231,1,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,-76,housing_yes,loan_no,contact_cellular,month_apr,263,1,-1,0,poutcome_unknown,0
age_25_or_above,job_technician,marital_married,education_tertiary,default_no,-71,housing_yes,loan_yes,contact_cellular,month_jan,1451,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,118,housing_no,loan_no,contact_cellular,month_feb,906,1,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,0,housing_no,loan_no,contact_cellular,month_aug,11,16,-1,0,poutcome_unknown,0
age_25_or_above,job_management,marital_married,education_tertiary,default_no,0,housing_yes,loan_no,contact_unknown,month_may,260,1,-1,0,poutcome_unknown,0
age_25_or_above,job_management,marital_married,education_secondary,default_no,2155,housing_no,loan_yes,contact_cellular,month_nov,144,3,91,2,poutcome_failure,1
age_25_or_above,job_unknown,marital_married,education_unknown,default_no,397,housing_no,loan_no,contact_telephone,month_may,300,3,-1,0,poutcome_unknown,1
age_25_or_above,job_housemaid,marital_married,education_secondary,default_no,360,housing_no,loan_no,contact_cellular,month_nov,215,1,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_single,education_secondary,default_no,274,housing_no,loan_no,contact_cellular,month_apr,351,3,-1,0,poutcome_unknown,1
age_25_or_above,job_unemployed,marital_single,education_secondary,default_no,0,housing_yes,loan_no,contact_cellular,month_apr,137,1,-1,0,poutcome_unknown,0
age_25_or_above,job_management,marital_single,education_secondary,default_no,178,housing_yes,loan_no,contact_unknown,month_jun,732,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,4831,housing_no,loan_no,contact_cellular,month_jul,852,3,182,11,poutcome_success,1
age_25_or_above,job_admin.,marital_single,education_secondary,default_no,2398,housing_yes,loan_no,contact_cellular,month_aug,317,1,180,2,poutcome_failure,1
age_25_or_above,job_technician,marital_married,education_secondary,default_no,3399,housing_no,loan_no,contact_cellular,month_may,1078,1,97,7,poutcome_other,1
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_yes,447,housing_no,loan_no,contact_cellular,month_nov,426,2,189,6,poutcome_failure,0
age_25_or_above,job_management,marital_married,education_tertiary,default_no,596,housing_no,loan_no,contact_cellular,month_aug,192,4,-1,0,poutcome_unknown,0
age_below_25,job_blue-collar,marital_married,education_primary,default_no,-213,housing_no,loan_no,contact_unknown,month_may,165,2,-1,0,poutcome_unknown,0
age_below_25,job_student,marital_single,education_tertiary,default_no,691,housing_no,loan_no,contact_cellular,month_aug,338,1,-1,0,poutcome_unknown,1
age_25_or_above,job_retired,marital_married,education_tertiary,default_no,4388,housing_no,loan_no,contact_cellular,month_jul,896,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_divorced,education_primary,default_no,0,housing_no,loan_no,contact_cellular,month_jul,509,2,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_single,education_secondary,default_no,458,housing_no,loan_no,contact_cellular,month_feb,112,4,201,3,poutcome_failure,0
age_25_or_above,job_housemaid,marital_married,education_secondary,default_no,2,housing_no,loan_no,contact_cellular,month_feb,45,2,93,1,poutcome_success,0
age_25_or_above,job_student,marital_single,education_secondary,default_no,48,housing_no,loan_no,contact_cellular,month_aug,161,1,173,1,poutcome_failure,1
age_25_or_above,job_blue-collar,marital_single,education_primary,default_no,0,housing_yes,loan_yes,contact_cellular,month_may,1975,5,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,268,housing_no,loan_no,contact_cellular,month_sep,587,1,-1,0,poutcome_unknown,1
age_25_or_above,job_unemployed,marital_married,education_secondary,default_no,200,housing_yes,loan_no,contact_unknown,month_may,155,6,-1,0,poutcome_unknown,0
age_25_or_above,job_housemaid,marital_divorced,education_secondary,default_no,4328,housing_no,loan_no,contact_cellular,month_aug,133,2,-1,0,poutcome_unknown,0
age_25_or_above,job_unemployed,marital_divorced,education_secondary,default_no,387,housing_yes,loan_no,contact_unknown,month_may,918,1,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,3473,housing_no,loan_no,contact_cellular,month_mar,1209,2,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_secondary,default_no,103,housing_yes,loan_no,contact_unknown,month_may,79,6,-1,0,poutcome_unknown,0
age_25_or_above,job_management,marital_married,education_tertiary,default_no,927,housing_no,loan_no,contact_cellular,month_aug,100,4,-1,0,poutcome_unknown,0
age_25_or_above,job_retired,marital_married,education_secondary,default_no,1310,housing_no,loan_no,contact_cellular,month_oct,634,1,-1,0,poutcome_unknown,0
age_25_or_above,job_services,marital_married,education_secondary,default_no,403,housing_yes,loan_no,contact_unknown,month_may,274,2,-1,0,poutcome_unknown,0
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,640,housing_yes,loan_no,contact_cellular,month_mar,215,1,182,4,poutcome_success,1
age_25_or_above,job_blue-collar,marital_single,education_tertiary,default_no,3014,housing_yes,loan_no,contact_cellular,month_may,291,2,-1,0,poutcome_unknown,0
age_25_or_above,job_self-employed,marital_married,education_tertiary,default_no,7602,housing_no,loan_no,contact_cellular,month_nov,222,1,-1,0,poutcome_unknown,0
age_25_or_above,job_retired,marital_married,education_secondary,default_no,523,housing_no,loan_no,contact_cellular,month_feb,467,1,182,3,poutcome_success,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,82,housing_no,loan_no,contact_telephone,month_apr,456,1,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,855,housing_no,loan_no,contact_cellular,month_apr,110,1,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_divorced,education_secondary,default_no,1533,housing_yes,loan_no,contact_cellular,month_nov,555,4,-1,0,poutcome_unknown,1
age_25_or_above,job_retired,marital_married,education_primary,default_no,610,housing_no,loan_no,contact_unknown,month_jun,86,2,-1,0,poutcome_unknown,0
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,860,housing_yes,loan_no,contact_unknown,month_jun,884,4,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_unknown,default_no,2242,housing_no,loan_no,contact_cellular,month_jul,154,14,-1,0,poutcome_unknown,0
age_25_or_above,job_admin.,marital_single,education_secondary,default_no,1076,housing_yes,loan_no,contact_unknown,month_jun,537,5,-1,0,poutcome_unknown,0
age_25_or_above,job_technician,marital_married,education_secondary,default_no,371,housing_yes,loan_yes,contact_cellular,month_oct,287,1,-1,0,poutcome_unknown,1
age_25_or_above,job_unemployed,marital_married,education_primary,default_yes,11,housing_yes,loan_no,contact_telephone,month_jul,166,8,-1,0,poutcome_unknown,0
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,3138,housing_no,loan_no,contact_cellular,month_sep,409,1,398,1,poutcome_failure,1
age_25_or_above,job_technician,marital_single,education_tertiary,default_no,372,housing_yes,loan_yes,contact_cellular,month_jul,728,2,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_single,education_secondary,default_no,192,housing_no,loan_no,contact_cellular,month_jan,327,4,-1,0,poutcome_unknown,0
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,92,housing_yes,loan_no,contact_cellular,month_may,139,2,350,1,poutcome_failure,0
age_25_or_above,job_admin.,marital_single,education_secondary,default_no,2556,housing_yes,loan_no,contact_cellular,month_apr,342,1,-1,0,poutcome_unknown,0
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,4040,housing_no,loan_no,contact_cellular,month_aug,53,5,-1,0,poutcome_unknown,0
age_25_or_above,job_admin.,marital_married,education_tertiary,default_no,29,housing_no,loan_no,contact_cellular,month_aug,576,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_no,161,housing_no,loan_yes,contact_telephone,month_sep,298,3,-1,0,poutcome_unknown,1
age_25_or_above,job_retired,marital_married,education_primary,default_no,1634,housing_yes,loan_yes,contact_cellular,month_aug,836,1,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_married,education_tertiary,default_no,2667,housing_yes,loan_no,contact_cellular,month_mar,251,1,181,4,poutcome_failure,1
