checkingstatus,duration,history,purpose,amount,savings,employ,installment,status,others,residence,property,age,otherplans,housing,cards,job,liable,telephone,foreign,outcome
0 <= ... < 200 DM,45,existing credits paid back duly till now,radio/television,3031,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,guarantor,4,building society savings agreement/ life insurance,<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,2
0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,4795,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,1,unknown / no property,> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,48,critical account/ other credits existing (not at this bank),furniture/equipment,5096,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,625,... < 100 DM,... < 1 year,4,male : married/widowed,guarantor,1,real estate,> 25 years,bank,own,1,unskilled - resident,1,phone - none,foreign - yes,1
... < 0 DM,36,existing credits paid back duly till now,car (used),8335,unknown/ no savings account,.. >= 7 years,3,male : single,others - none,4,unknown / no property,> 25 years,none,for free,1,skilled employee / official,1,phone - none,foreign - yes,2
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),884,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,bank,own,1,skilled employee / official,2,"phone - yes, registered under the customers name",foreign - yes,2
no checking account,24,critical account/ other credits existing (not at this bank),car (used),3868,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1155,... < 100 DM,.. >= 7 years,3,male : married/widowed,guarantor,3,real estate,> 25 years,bank,own,2,unskilled - resident,1,phone - none,foreign - yes,1
... < 0 DM,15,existing credits paid back duly till now,business,806,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,<= 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,1
... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,708,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,3,building society savings agreement/ life insurance,> 25 years,none,own,1,unskilled - resident,2,phone - none,foreign - yes,1
no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,... < 100 DM,... < 1 year,1,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1544,... < 100 DM,4 <= ... < 7 years,2,male : single,others - none,1,real estate,> 25 years,none,own,3,unskilled - resident,2,phone - none,foreign - yes,1
no checking account,9,existing credits paid back duly till now,furniture/equipment,2301,100 <= ... < 500 DM,... < 1 year,2,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,12,existing credits paid back duly till now,education,719,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,bank,own,1,unskilled - resident,2,phone - none,foreign - yes,2
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,1068,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,2,phone - none,foreign - yes,1
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1163,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,others - none,4,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1898,unknown/ no savings account,1 <= ... < 4 years,1,male : single,others - none,2,real estate,> 25 years,none,own,2,unskilled - resident,2,phone - none,foreign - yes,1
... < 0 DM,12,existing credits paid back duly till now,education,795,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,12,existing credits paid back duly till now,business,1076,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,others - none,2,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - no,1
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,1520,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,car (new),709,.. >= 1000 DM,... < 1 year,2,male : married/widowed,others - none,2,real estate,> 25 years,none,own,1,unemployed/ unskilled - non-resident,1,phone - none,foreign - no,1
no checking account,21,existing credits paid back duly till now,radio/television,3160,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,3,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1301,... < 100 DM,.. >= 7 years,4,male : married/widowed,guarantor,2,real estate,> 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,1
... < 0 DM,48,existing credits paid back duly till now,radio/television,6758,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,... < 100 DM,1 <= ... < 4 years,4,male : single,guarantor,1,building society savings agreement/ life insurance,<= 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,1
no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,... < 100 DM,... < 1 year,2,male : single,others - none,3,building society savings agreement/ life insurance,> 25 years,bank,own,2,unskilled - resident,1,phone - none,foreign - yes,1
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1028,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,3,real estate,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,... < 100 DM,.. >= 7 years,2,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,bank,own,1,skilled employee / official,2,phone - none,foreign - yes,2
no checking account,9,existing credits paid back duly till now,radio/television,2753,100 <= ... < 500 DM,.. >= 7 years,3,male : single,co-applicant,4,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1582,.. >= 1000 DM,.. >= 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,48,delay in paying off in the past,radio/television,7238,unknown/ no savings account,.. >= 7 years,3,male : single,others - none,3,"car or other, not in attribute 6",> 25 years,bank,own,2,skilled employee / official,2,phone - none,foreign - yes,1
... < 0 DM,24,existing credits paid back duly till now,car (new),1285,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,others - none,4,unknown / no property,> 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1 <= ... < 4 years,2,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,none,own,1,unskilled - resident,2,phone - none,foreign - yes,1
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1206,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,others - none,4,real estate,<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,6,existing credits paid back duly till now,radio/television,2108,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,others - none,2,real estate,> 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,48,existing credits paid back duly till now,car (new),3931,... < 100 DM,4 <= ... < 7 years,4,male : single,others - none,4,unknown / no property,> 25 years,none,for free,1,skilled employee / official,2,phone - none,foreign - yes,2
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1377,100 <= ... < 500 DM,.. >= 7 years,4,female : divorced/separated/married,others - none,2,unknown / no property,> 25 years,none,for free,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,3049,... < 100 DM,... < 1 year,1,female : divorced/separated/married,others - none,1,building society savings agreement/ life insurance,> 25 years,stores,own,1,unskilled - resident,1,phone - none,foreign - yes,1
no checking account,10,existing credits paid back duly till now,retraining,894,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,others - none,3,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown/ no savings account,... < 1 year,3,male : single,guarantor,4,real estate,> 25 years,bank,rent,2,skilled employee / official,2,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),5302,... < 100 DM,.. >= 7 years,2,male : single,others - none,4,unknown / no property,> 25 years,none,for free,3,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,5084,unknown/ no savings account,.. >= 7 years,2,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account,... < 1 year,2,male : single,others - none,3,"car or other, not in attribute 6",<= 25 years,bank,own,3,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",<= 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,2
0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (used),5800,... < 100 DM,1 <= ... < 4 years,3,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,12,existing credits paid back duly till now,radio/television,1493,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,2,phone - none,foreign - yes,1
no checking account,24,critical account/ other credits existing (not at this bank),business,4139,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,others - none,3,building society savings agreement/ life insurance,> 25 years,none,own,2,unskilled - resident,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,39,critical account/ other credits existing (not at this bank),radio/television,4933,... < 100 DM,4 <= ... < 7 years,2,male : single,guarantor,2,real estate,<= 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,2
... < 0 DM,21,existing credits paid back duly till now,radio/television,2606,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,> 25 years,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,24,critical account/ other credits existing (not at this bank),education,1927,unknown/ no savings account,1 <= ... < 4 years,3,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,12,critical account/ other credits existing (not at this bank),business,2292,... < 100 DM,unemployed,4,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,stores,own,2,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2
... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,3446,... < 100 DM,.. >= 7 years,4,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,2,phone - none,foreign - yes,2
no checking account,10,existing credits paid back duly till now,car (used),2901,unknown/ no savings account,... < 1 year,1,female : divorced/separated/married,others - none,4,real estate,> 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,radio/television,409,.. >= 1000 DM,1 <= ... < 4 years,3,female : divorced/separated/married,others - none,3,real estate,> 25 years,none,rent,2,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,18,existing credits paid back duly till now,radio/television,4594,... < 100 DM,... < 1 year,3,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1240,unknown/ no savings account,.. >= 7 years,4,female : divorced/separated/married,others - none,2,real estate,> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,12,existing credits paid back duly till now,car (new),3651,.. >= 1000 DM,1 <= ... < 4 years,1,male : single,others - none,3,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,2,phone - none,foreign - yes,1
no checking account,24,existing credits paid back duly till now,radio/television,1278,... < 100 DM,.. >= 7 years,4,male : single,others - none,1,real estate,> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,12,critical account/ other credits existing (not at this bank),car (new),682,100 <= ... < 500 DM,4 <= ... < 7 years,4,female : divorced/separated/married,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,36,existing credits paid back duly till now,business,5742,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),8086,100 <= ... < 500 DM,.. >= 7 years,2,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,4,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2
... < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),3966,... < 100 DM,.. >= 7 years,1,female : divorced/separated/married,others - none,4,real estate,> 25 years,bank,rent,3,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,6,existing credits paid back duly till now,domestic appliances,1338,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : divorced/separated,others - none,4,real estate,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,24,existing credits paid back duly till now,car (new),1249,... < 100 DM,... < 1 year,4,male : married/widowed,others - none,2,real estate,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,12,existing credits paid back duly till now,radio/television,776,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,others - none,2,real estate,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,24,existing credits paid back duly till now,car (new),3757,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,> 25 years,none,for free,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),radio/television,1271,unknown/ no savings account,1 <= ... < 4 years,3,male : single,others - none,4,unknown / no property,> 25 years,none,for free,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
no checking account,24,existing credits paid back duly till now,radio/television,3621,100 <= ... < 500 DM,.. >= 7 years,2,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,24,existing credits paid back duly till now,car (used),7814,... < 100 DM,4 <= ... < 7 years,3,male : single,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year,3,female : divorced/separated/married,others - none,1,"car or other, not in attribute 6",<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,12,existing credits paid back duly till now,furniture/equipment,763,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,1,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/ no savings account,... < 1 year,2,male : married/widowed,others - none,4,"car or other, not in attribute 6",> 25 years,none,rent,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1433,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,3,building society savings agreement/ life insurance,<= 25 years,none,rent,2,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1471,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,4,unknown / no property,> 25 years,none,for free,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,business,609,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,1,real estate,> 25 years,none,own,1,unemployed/ unskilled - non-resident,1,phone - none,foreign - yes,2
... < 0 DM,12,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,others - none,4,building society savings agreement/ life insurance,<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,48,all credits at this bank paid back duly,business,3609,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,others - none,1,real estate,> 25 years,stores,own,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,9,existing credits paid back duly till now,furniture/equipment,2136,... < 100 DM,1 <= ... < 4 years,3,male : single,others - none,2,real estate,<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),7472,unknown/ no savings account,unemployed,1,female : divorced/separated/married,others - none,2,real estate,<= 25 years,none,rent,1,unemployed/ unskilled - non-resident,1,phone - none,foreign - yes,1
no checking account,4,critical account/ other credits existing (not at this bank),car (new),1455,... < 100 DM,4 <= ... < 7 years,2,male : single,others - none,1,real estate,> 25 years,none,own,3,unskilled - resident,2,phone - none,foreign - yes,1
... < 0 DM,9,existing credits paid back duly till now,radio/television,1364,... < 100 DM,4 <= ... < 7 years,3,male : single,others - none,4,real estate,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,60,existing credits paid back duly till now,car (new),10366,... < 100 DM,.. >= 7 years,2,male : single,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2684,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,2,real estate,> 25 years,none,own,2,unskilled - resident,1,phone - none,foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,21,existing credits paid back duly till now,car (new),2923,100 <= ... < 500 DM,1 <= ... < 4 years,1,female : divorced/separated/married,others - none,1,"car or other, not in attribute 6",> 25 years,bank,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,16,critical account/ other credits existing (not at this bank),car (new),2625,... < 100 DM,.. >= 7 years,2,male : single,guarantor,4,building society savings agreement/ life insurance,> 25 years,bank,rent,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1246,... < 100 DM,... < 1 year,4,male : single,others - none,2,real estate,<= 25 years,stores,own,1,unskilled - resident,1,phone - none,foreign - yes,2
... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,6872,... < 100 DM,... < 1 year,2,male : divorced/separated,others - none,1,building society savings agreement/ life insurance,> 25 years,bank,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
no checking account,22,existing credits paid back duly till now,radio/television,2675,500 <= ... < 1000 DM,.. >= 7 years,3,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,700,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,4,unknown / no property,> 25 years,none,for free,2,skilled employee / official,1,phone - none,foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,radio/television,745,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,others - none,2,real estate,> 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,2
0 <= ... < 200 DM,21,delay in paying off in the past,car (new),2353,... < 100 DM,1 <= ... < 4 years,1,male : divorced/separated,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,12,existing credits paid back duly till now,car (new),2390,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,24,existing credits paid back duly till now,car (new),915,unknown/ no savings account,.. >= 7 years,4,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,bank,own,1,skilled employee / official,1,phone - none,foreign - yes,2
... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,2578,... < 100 DM,unemployed,3,female : divorced/separated/married,others - none,4,unknown / no property,> 25 years,none,for free,1,management/ self-employed/highly qualified employee/ officer,1,phone - none,foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1258,500 <= ... < 1000 DM,1 <= ... < 4 years,3,female : divorced/separated/married,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,1
no checking account,18,all credits at this bank paid back duly,car (new),6458,... < 100 DM,.. >= 7 years,2,male : single,others - none,4,unknown / no property,> 25 years,bank,own,2,management/ self-employed/highly qualified employee/ officer,2,"phone - yes, registered under the customers name",foreign - yes,2
0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,6416,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,others - none,3,unknown / no property,> 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,2028,... < 100 DM,4 <= ... < 7 years,2,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,none,own,2,unskilled - resident,1,phone - none,foreign - yes,1
